original_relpath,size,mtime_ns,out_name
AGENDA DOCENTE SECUNDARIO/IMG_3528.HEIC,1694160,1761342828000000000,agenda-docente-secundario_0006.webp
AGENDA DOCENTE SECUNDARIO/IMG_3529.HEIC,1622964,1761342834000000000,agenda-docente-secundario_0007.webp
AGENDA DOCENTE SECUNDARIO/IMG_3530.HEIC,1831341,1761342842000000000,agenda-docente-secundario_0008.webp
AGENDA DOCENTE SECUNDARIO/IMG_3531.HEIC,1663009,1761342848000000000,agenda-docente-secundario_0009.webp
AGENDA DOCENTE SECUNDARIO/IMG_3532.HEIC,1645689,1761342855000000000,agenda-docente-secundario_0010.webp
AGENDA DOCENTE SECUNDARIO/IMG_3533.HEIC,1646112,1761342860000000000,agenda-docente-secundario_0011.webp
AGENDA DOCENTE SECUNDARIO/IMG_3534.HEIC,1651018,1761342865000000000,agenda-docente-secundario_0012.webp
AGENDA DOCENTE SECUNDARIO/IMG_3535.HEIC,1608130,1761342870000000000,agenda-docente-secundario_0013.webp
AGENDA DOCENTE SECUNDARIO/IMG_3536.HEIC,1621147,1761342878000000000,agenda-docente-secundario_0014.webp
AGENDA DOCENTE SECUNDARIO/IMG_3537.HEIC,1661558,1761342883000000000,agenda-docente-secundario_0015.webp
AGENDA DOCENTE SECUNDARIO/IMG_3538.HEIC,1682119,1761342902000000000,agenda-docente-secundario_0016.webp
AGENDA DOCENTE SECUNDARIO/IMG_3539.HEIC,1681454,1761342907000000000,agenda-docente-secundario_0017.webp
AGENDA DOCENTE SECUNDARIO/IMG_3540.HEIC,1764792,1761342913000000000,agenda-docente-secundario_0018.webp
AGENDA DOCENTE SECUNDARIO/IMG_3541.HEIC,1818357,1761342918000000000,agenda-docente-secundario_0019.webp
AGENDA DOCENTE SECUNDARIO/IMG_3542.HEIC,1721471,1761342929000000000,agenda-docente-secundario_0020.webp
AGENDA DOCENTE SECUNDARIO/IMG_3543.HEIC,1868847,1761342933000000000,agenda-docente-secundario_0021.webp
AGENDA DOCENTE SECUNDARIO/IMG_3544.HEIC,1675607,1761342976000000000,agenda-docente-secundario_0022.webp
AGENDA DOCENTE SECUNDARIO/IMG_3545.HEIC,1738882,1761342980000000000,agenda-docente-secundario_0023.webp
AGENDA DOCENTE SECUNDARIO/IMG_3546.HEIC,1710195,1761342985000000000,agenda-docente-secundario_0024.webp
AGENDA DOCENTE SECUNDARIO/IMG_3547.HEIC,1570105,1761342989000000000,agenda-docente-secundario_0025.webp
AGENDA DOCENTE SECUNDARIO/IMG_3548.HEIC,1651732,1761343014000000000,agenda-docente-secundario_0026.webp
AGENDA DOCENTE SECUNDARIO/IMG_3549.HEIC,1588536,1761343021000000000,agenda-docente-secundario_0027.webp
AGENDA DOCENTE SECUNDARIO/IMG_3550.HEIC,1783372,1761343036000000000,agenda-docente-secundario_0028.webp
AGENDA DOCENTE SECUNDARIO/IMG_3551.HEIC,1554921,1761343041000000000,agenda-docente-secundario_0029.webp
AGENDA SEMANAL/0 semanal.png,1917601,1762620603956151600,agenda-semanal_0001.webp
AGENDA SEMANAL/1.HEIC,3727744,1760378391000000000,agenda-semanal_0002.webp
AGENDA SEMANAL/10 si o si.HEIC,3235030,1758906121000000000,agenda-semanal_0003.webp
AGENDA SEMANAL/11.HEIC,3203539,1758906138000000000,agenda-semanal_0004.webp
AGENDA SEMANAL/12.HEIC,3274093,1758906146000000000,agenda-semanal_0005.webp
AGENDA SEMANAL/13.HEIC,3342618,1758906149000000000,agenda-semanal_0006.webp
AGENDA SEMANAL/2 si o si.heic,3122781,1762524761895780200,agenda-semanal_0007.webp
AGENDA SEMANAL/3.heic,3955577,1762524761833102500,agenda-semanal_0008.webp
AGENDA SEMANAL/4.heic,3456869,1762524761866116400,agenda-semanal_0009.webp
AGENDA SEMANAL/5.heic,3570399,1762524761778064000,agenda-semanal_0010.webp
AGENDA SEMANAL/6 si osi.HEIC,3453302,1758906099000000000,agenda-semanal_0011.webp
AGENDA SEMANAL/7.HEIC,3229815,1758906107000000000,agenda-semanal_0012.webp
AGENDA SEMANAL/8.HEIC,3246538,1758906112000000000,agenda-semanal_0013.webp
AGENDA SEMANAL/9.HEIC,3393752,1758906116000000000,agenda-semanal_0014.webp
AGENDA SEMANAL/IMG_2455.MOV,7843725,1758916373000000000,agenda-semanal_0015.mp4
AGENDA SEMANAL/IMG_2456.HEIC,2929403,1758916387000000000,agenda-semanal_0016.webp
AGENDA SEMANAL/IMG_2908.HEIC,4008745,1760378845000000000,agenda-semanal_0017.webp
AGENDA SEMANAL/IMG_2937.HEIC,3871296,1760379284000000000,agenda-semanal_0018.webp
AGENDA SEMANAL/IMG_2942.MOV,10769202,1760379346000000000,agenda-semanal_0019.mp4
AGENDA SEMANAL/IMG_2994.HEIC,2079437,1760552541000000000,agenda-semanal_0020.webp
AGENDA SEMANAL/IMG_2995.HEIC,2136350,1760552550000000000,agenda-semanal_0021.webp
AGENDA SEMANAL/IMG_2996.HEIC,2140060,1760552582000000000,agenda-semanal_0022.webp
AGENDA SEMANAL/IMG_2997.HEIC,2369341,1760552590000000000,agenda-semanal_0023.webp
AGENDA UNIVERSITARIA 2026/0 universitaria.png,1955122,1762621007701150100,agenda-universitaria-2026_0001.webp
AGENDA UNIVERSITARIA 2026/1 si o si.HEIC,3762623,1761341862000000000,agenda-universitaria-2026_0002.webp
AGENDA UNIVERSITARIA 2026/10 si o si.HEIC,2847340,1761342148000000000,agenda-universitaria-2026_0003.webp
AGENDA UNIVERSITARIA 2026/11 video si o si.MP4,39695685,1762527762771130000,agenda-universitaria-2026_0004.mp4
AGENDA UNIVERSITARIA 2026/2.HEIC,3432094,1761341875000000000,agenda-universitaria-2026_0005.webp
AGENDA UNIVERSITARIA 2026/3 si osi.HEIC,3383730,1761341910000000000,agenda-universitaria-2026_0006.webp
AGENDA UNIVERSITARIA 2026/4 si o si.HEIC,3652615,1761342039000000000,agenda-universitaria-2026_0007.webp
AGENDA UNIVERSITARIA 2026/5 si osi.HEIC,3584876,1761342053000000000,agenda-universitaria-2026_0008.webp
